screen_name,tweets
Tesfayalex39,32
Almaz70511855,14
MulugetaAshebi3,1
hc_wss,133
Jovani_G_Mata,2
merkeb_a,63
WediTeklay3,222
selamm___,5
ELn8sUZLVV9ApFF,19
Hadas21748604,2
A_Gezaie,5
kirosflawer2,17
SelamTesfy,7
SzeIl1m3,5
AbayTigery,1
Ali17279479,1
TQJ19pqXT1S2nPj,12
Mahi29411703,313
Roozz03511381,126
Robi90934130,6
Bibishu9,1
MengstuP,5
8AjigQRQjuWrw7j,4
SolomonSolll,12
Geni_Genet2,155
HagosTobias,1
AbityZgreat,97
AzebAze59444506,108
FreweiniHA,11
Hatney_marey,13
Nahom2020,1
MichelCillard,3
Sara42219910,12
mussie19408529,16
Tahgas20,1
tsiongetacheww,2
GidenaMebrhit,1
Ibrahimosman81,1
MedhnTemanu,46
gaul_keshi,73
Konjeyew,1
Shewitey22,30
KirosRagbe,8
RomanoFukadu,1
Kukusha2005,23
merna_gbtw,1
Edenwoldu5,4
JgT1jpxJ9Esonko,2
danayt_t,29
Selam44789040,3
Jerusy,2
MonEspoir01,1
tdf_ephrem,54
TirhasLegesse,18
makonent,2
JoeTseGy,2
ane_tigraweti,18
AmahaTdf,196
letigray,8
abe68246730,1
HeroseMeb,8
DKeremela,16
solomon_ala,6
adihay_g,5
JooMan48437790,2
MhretabZeru,6
kahsay_mehret,25
Ab_Tigray,8
DhZaBPYe7V6GlHf,2
RahelGualSeguh,551
MMillisha,1
BerheG01,310
Samikah15Samuel,2
soleagame,25
Tgisty_LeLe,23
tgraytgraytgray,8
SelamSe58754995,46
Selu_weldu,20
TesfamichaelM,96
rebel_tigray,3
LeahGualTigray,3
FTechane,2
Lena_Waero,4
TINAgebrmariem,63
mebrhatu_brhan,116
GeryeaF,83
HagosKiros13,75
HailemariamAbe4,10
CaalaG,1
AlulaAbanega8,413
Mesimes74871842,144
TG_Tesema,13
bonnyomiga1,438
1RisingPhoenix1,23
voiceoftigray21,709
Bethelben11,3
AlumaAlumaa,18
gualteklino,1
Hagos1Niguse,19
VincentCoyle1,1
LemmaFraol,1
NireaKahsay,1
KokebTsama,25
ZMsifan,32
A7Mohammedbrhan,1
Genet43290085,3
WalterZk2,52
HagosTeffera,1
DrTesfay1,1
TegaruUnited1,2
GualGebrehans,433
Tigray_AdeyT,79
MerdineSara,234
